simulation_number,shower_length,total_water,water_type,heat_type,total_heat,total_CO2eq
57,11.467931611461099,130.33562304886797,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",18.768329719036988,0.6265274799675153
58,4.585168278182875,52.111469144410975,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",7.50405155679518,0.550429861093408
59,10.141746904722448,115.26323546522418,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",16.59790590699228,0.5540740340946755
60,8.782316398803106,99.81300189358703,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",14.37307227267653,1.0542795601358625
61,8.616458877535136,97.92799384643428,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",14.101631113886535,1.073130918313866
62,9.073647301173224,103.12404314847646,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",14.849862213380609,1.563668079564114
63,14.618359735642949,166.14094752652264,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",23.92429644381926,1.80745363039209
64,11.482569461345749,130.50198550632325,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",18.792285912910547,0.8054479636710619
65,11.45661848784537,130.2070468535224,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",18.749814746907223,1.4268566348859688
66,10.183612786559754,115.7390506321286,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",16.666423291026515,0.5563612927157445
67,9.60335165673214,109.14425233288355,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",15.71677233593523,1.1950133090706583
68,12.600988493348085,143.213069449312,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",20.622682000700927,1.546318677538756
69,6.959299171047821,79.09400092127197,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",11.389536132663164,0.860466617265238
70,7.464157498198489,84.83182940246293,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",12.21578343395466,1.764182808477658
71,9.44316933001033,107.32374414866665,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",15.454619157407997,1.175080683550663
72,15.335166740022222,174.28762041286907,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",25.097417339453145,1.9099077474996278
73,6.011135073516151,68.3179026159026,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",9.837777976689972,0.7432330376241167
74,10.135597008679357,115.19334051296785,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",16.58784103386737,1.7560868837279207
75,7.737055663370207,87.93337845172665,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",12.662406497048638,0.9627768326349226
76,13.677475062204467,155.44758151384278,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",22.38445173799336,1.641922442502227
77,6.516520265032221,74.06171902915082,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",10.664887540197718,1.5402050432940104
78,9.455284131494794,107.46143159336793,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",15.474446149444981,1.1602964689384814
79,7.850777257358862,89.22584995476637,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",12.848522393486357,0.9634008881651595
80,11.648814526522491,132.39139807719658,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",19.064361323116305,1.3983904128983673
81,6.370619568710285,72.40352478779535,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",10.426107569442529,1.1037693641778124
82,10.75527930960223,122.23616929147401,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",17.602008377972258,0.5875931484852404
83,7.6676758439033055,87.14486119302595,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",12.548860011795735,1.328496482903327
84,8.922339684155517,101.40439803685639,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",14.60223331730732,0.4874541623653696
85,9.35068910068641,106.27268553434871,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",15.303266716946213,0.5108561750017584
86,8.03809420749323,91.35474923935726,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",13.155083890467445,1.3926749254001234
87,7.016525108492654,79.74438657616842,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",11.483191666968253,0.8675421873194528
88,10.14304876196324,115.27803136568366,"tap water production, underground water without treatment","Heat, central or small-scale, other than natural gas {CH}",16.600036516658445,0.048002411239651294
89,10.639778283969504,120.92347414742731,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",17.412980277229533,0.702210389956069
90,11.644526465070198,132.34266329397744,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",19.05734351433275,1.4490111995252664
91,7.263606657149928,82.55252397000679,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",11.887563451680977,0.004255475348937679
92,5.421353077005753,61.61489752461271,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",8.872545243544229,0.0031761679102455306
93,10.39686062294096,118.16266027336417,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",17.01542307936444,1.2937552701464763
94,10.663231809700598,121.19002874440449,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",17.451364139194244,1.326901730331298
95,12.634075919167053,143.5891154884154,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",20.676832630331813,1.5166668334333555
96,9.105635103808767,103.487591722685,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",14.90221320806664,1.1330789005278605
97,9.661258651227172,109.80237835439334,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",15.811542483032639,1.159792822149146
98,7.843203252034229,89.13976968010073,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",12.836126833934504,1.8537717544109216
99,17.49194667471354,198.7999096461212,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",28.62718698904145,0.010247877038592704
100,4.419877819173233,50.23290588741311,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",7.233538447787487,0.29170571454820665
101,12.422959628707277,141.18973134617468,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",20.331321313849152,1.4913232247843
102,9.93647102616102,112.93022891830087,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",16.261952964235324,0.5428591975181585
103,11.412598112645545,129.706745384792,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",18.677771335410046,0.7532154108104999
104,14.718121934531961,167.27476736339102,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",24.087566500328304,2.550052143964186
105,8.519512898655753,96.82618098362484,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",13.942970061641976,0.004991263822015881
106,13.97321072118095,158.80868381863377,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, borehole heat pump {CH}",22.86845046988326,1.586699869479429
107,8.307109631613043,94.41217006294936,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",13.595352489064707,1.0337126999538273
108,5.0359198228890145,57.2343618690938,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",8.241748109149507,0.6179782550259201
109,8.764335383008788,99.60864360335606,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",14.34364467888327,0.5784337984073367
110,10.933536907273284,124.26210699696502,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",17.893743407562962,1.3125243908202
111,7.6671098303136045,87.13842832122594,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",12.547933678256536,0.004491872759709631
112,8.98154871501006,102.07732199455022,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",14.69913436721523,0.49068892920471324
113,5.6940525252459055,64.7141881112379,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",9.318843088018257,0.003335932313031931
114,12.612725291227806,143.34646079799455,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",20.641890354911215,2.9810669365170663
115,9.092667074554138,103.34020715239956,"tap water production, underground water without treatment","Heat, central or small-scale, other than natural gas {CH}",14.880989829945536,0.04303143506662033
116,11.830348240303822,134.454569579407,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, borehole heat pump {CH}",19.361458019434608,1.3433714257477263
117,11.127540824676482,126.46700516913377,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",18.211248744355263,0.6079309109371256
118,13.533872792167957,153.81550940436708,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",22.149433354228858,1.6733647244858159
119,8.732761925797185,99.24980415811831,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",14.291971798769035,1.087615801112942
120,5.758608038212874,65.44787604109791,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",9.424494149918099,0.7172018598462571
121,6.274450429748755,71.3105408854413,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",10.268717887503547,0.41410489630899594
122,10.517045130057156,119.52858423825384,"tap water production, underground water with chemical treatment","Heat, central or small-scale, other than natural gas {CH}",17.21211613030855,1.8316584817053334
123,6.707218506784508,76.22904745376997,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",10.976982833342873,0.8346268749654386
124,12.395505953886673,140.87771415476166,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",20.286390838285676,1.5211030772828706
125,8.884656462553986,100.97611974463013,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",14.540561243226737,1.6590965594373253
126,10.090015757068198,114.67529933262541,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",16.51324310389806,1.256654041884252
127,8.262286524880501,93.902745369735,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",13.52199533324184,0.45139347971254684
128,8.621962422175347,97.99054286956782,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, borehole heat pump {CH}",14.110638173217765,0.9790496202268649
129,12.423718978213877,141.19836152417082,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",20.332564059480596,2.1409883094305497
130,10.126242314303834,115.0870223065838,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",16.572531212148068,1.8909469211891958
131,11.165221030805897,126.89524918984095,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",18.272915883337095,1.3893678173468988
132,11.456011974865472,130.20015369704043,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",18.74882213237382,0.6258762744902413
